symbol,trades,wins,losses,win_rate,total_profit_pct,average_trade_pct,profit_factor,max_drawdown,best_trade_pct,worst_trade_pct
INJUSDT,34,15,19,44.11764705882353,11.496345504593373,0.3906948416226541,1.6419878894747482,-3.380804465817164,3.65644585593434,-1.7252291798525876
LINKUSDT,3,3,0,100.0,2.6045901605289337,0.9066511118187099,inf,0.0,0.921187308085976,0.891957991655863
TONUSDT,7,3,4,42.857142857142854,2.473393593740202,0.07780020637519806,1.5939834134681725,-1.9923443316178464,2.7207392197125224,-3.369839932603204
ADAUSDT,4,3,1,75.0,2.355103958828082,0.6174993562309001,9.19793555814217,-0.2815711685959258,1.1576089740306252,-0.29893014474512186
APTUSDT,6,3,3,50.0,2.1155724396462805,0.2439026942479471,1.855571898277206,-1.558640901202446,2.222519748292952,-2.0512198082291624
ATOMUSDT,13,5,8,38.46153846153847,1.4969852786446871,0.1282427474918592,1.2999020297891095,-2.174683073403711,1.7632577017765634,-1.1052079233897494
SOLUSDT,3,2,1,66.66666666666666,1.2313117600368948,0.43051663915274013,3.66987911829141,-0.4611863329695893,1.2857592423311546,-0.46349848981427555
TRXUSDT,22,11,11,50.0,1.0197500031776123,0.04985787447007981,1.6741964063212824,-0.44499357812347856,0.3619210280183702,-0.22883295194508663
BTCUSDT,5,2,3,40.0,0.33476895663501366,0.0655123796490181,1.343294855953527,-0.6791353424368985,0.6866395755194458,-0.475772198555884
NEARUSDT,27,10,17,37.03703703703704,0.15073081203421843,-0.07013083429135569,1.0091049294593106,-5.474224437538445,3.2542975696502605,-2.652553558736923
XRPUSDT,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETHUSDT,1,0,1,0.0,-0.36232089243410004,-0.3660659967693851,0.0,-0.36232089243410426,-0.3660659967693851,-0.3660659967693851
BNBUSDT,9,2,7,22.22222222222222,-0.5931543189462494,-0.06269193438663874,0.6644109463705055,-1.022060319164138,0.8161116230090885,-0.32449861993599016
DOGEUSDT,6,2,4,33.33333333333333,-0.6980547924476371,-0.12211872940510231,0.7358526164968863,-2.5922620506630736,1.0756662375896888,-0.9131420328679666
SEIUSDT,16,5,11,31.25,-0.7144124274329556,-0.07358317715357576,0.9144757875264167,-3.9307941895139136,2.542479546884823,-1.4133940428761114
AVAXUSDT,3,0,3,0.0,-1.3098157421228185,-0.45441501766680625,0.0,-1.3098157421228167,-0.4380754380754486,-0.46289702321606
ARBUSDT,5,1,4,20.0,-1.5036843084887586,-0.31010166987875853,0.49798126686849875,-2.074133351909762,1.4985014985014973,-0.9464424897004858
OPUSDT,8,2,6,25.0,-1.8628973877449329,-0.3228134271086334,0.540265965883099,-3.14660683473445,1.1846689895470335,-1.5974117884945835
SUIUSDT,9,2,7,22.22222222222222,-2.1208356388409255,-0.22916692554937995,0.6164490042686337,-3.6537626337731623,2.24807336518881,-1.106314085267141
DOTUSDT,4,0,4,0.0,-2.5985370209685317,-0.6733961230376049,0.0,-2.5985370209685357,-0.6376594148537098,-0.7080383173677686
